code,iata,icao,lat,lon,elevation,name,city,region,country,continent
SHJ,SHJ,OMSJ,25.32859992980957,55.5172004699707,111.0,Sharjah International Airport,Sharjah,Sharjah Emirate,United Arab Emirates,Europe
KHS,KHS,OOKB,26.17099952697754,56.2406005859375,100.0,Khasab Air Base,Khasab,Musandam Governorate,Oman,Europe
MCT,MCT,OOMS,23.593299865722656,58.284400939941406,48.0,Muscat International Airport,Muscat,Masqat Governorate,Oman,Europe
SLL,SLL,OOSA,17.038700103759766,54.09130096435547,73.0,Salalah Airport,Salalah,Dhofar Governorate,Oman,Europe
BNP,BNP,OPBN,32.972900390625,70.52790069580078,1325.0,Bannu Airport,Bannu,North-West Frontier,Pakistan,Europe
BHV,BHV,OPBW,29.348100662231445,71.71800231933594,392.0,Bahawalpur Airport,Bahawalpur,Punjab,Pakistan,Europe
CJL,CJL,OPCH,35.886600494384766,71.80059814453125,4920.0,Chitral Airport,Chitral,North-West Frontier,Pakistan,Europe
DBA,DBA,OPDB,28.878299713100002,64.3998031616,2800.0,Dalbandin Airport,Dalbandin,Balochistan,Pakistan,Europe
DEA,DEA,OPDG,29.961000442504883,70.48590087890625,492.0,Dera Ghazi Khan Airport,Dera Ghazi Khan,Punjab,Pakistan,Europe
DSK,DSK,OPDI,31.909400939941406,70.89659881591797,594.0,Dera Ismael Khan Airport,Dera Ismael Khan,North-West Frontier,Pakistan,Europe
LYP,LYP,OPFA,31.364999771118164,72.99479675292969,591.0,Faisalabad International Airport,Faisalabad,Punjab,Pakistan,Europe
GWD,GWD,OPGD,25.233299255371094,62.329498291015625,36.0,Gwadar International Airport,Gwadar,Balochistan,Pakistan,Europe
GIL,GIL,OPGT,35.918800354003906,74.33360290527344,4796.0,Gilgit Airport,Gilgit,Northern Areas,Pakistan,Europe
JIW,JIW,OPJI,25.067800521900004,61.8054008484,186.0,Jiwani Airport,Jiwani,Balochistan,Pakistan,Europe
KHI,KHI,OPKC,24.9065,67.160797,100.0,Jinnah International Airport,Karachi,Sindh,Pakistan,Europe
HDD,HDD,OPKD,25.318099975599996,68.3660964966,130.0,Hyderabad Airport,Hyderabad,Sindh,Pakistan,Europe
KDD,KDD,OPKH,27.790599823,66.6473007202,4012.0,Khuzdar Airport,Khuzdar,Balochistan,Pakistan,Europe
LHE,LHE,OPLA,31.5216007232666,74.40360260009766,712.0,Alama Iqbal International Airport,Lahore,Punjab,Pakistan,Europe
MFG,MFG,OPMF,34.3390007019043,73.50859832763672,2691.0,Muzaffarabad Airport,Muzaffarabad,Azad Kashmir,Pakistan,Europe
MJD,MJD,OPMJ,27.3351993560791,68.14309692382812,154.0,Moenjodaro Airport,Moenjodaro,Sindh,Pakistan,Europe
MUX,MUX,OPMT,30.20319938659668,71.41909790039062,403.0,Multan International Airport,Multan,Punjab,Pakistan,Europe
WNS,WNS,OPNH,26.2194,68.390099,95.0,Shaheed Benazirabad Airport,Nawabashah,Sindh,Pakistan,Europe
ORW,ORW,OPOR,25.274700164799995,64.58599853519999,10.0,Ormara Airport,Ormara Raik,Balochistan,Pakistan,Europe
PAJ,PAJ,OPPC,33.902099609400004,70.0716018677,5800.0,Parachinar Airport,Parachinar,Federally Administered Tribal Areas,Pakistan,Europe
PJG,PJG,OPPG,26.954500198364258,64.13249969482422,3289.0,Panjgur Airport,Panjgur,Balochistan,Pakistan,Europe
PSI,PSI,OPPI,25.29050064086914,63.34510040283203,33.0,Pasni Airport,Pasni,Balochistan,Pakistan,Europe
PEW,PEW,OPPS,33.993900299072266,71.51460266113281,1158.0,Peshawar International Airport,Peshawar,North-West Frontier,Pakistan,Europe
UET,UET,OPQT,30.251399993896484,66.93779754638672,5267.0,Quetta International Airport,Quetta,Balochistan,Pakistan,Europe
RYK,RYK,OPRK,28.383899688720703,70.27960205078125,271.0,Shaikh Zaid Airport,Rahim Yar Khan,Punjab,Pakistan,Europe
ISB,ISB,OPRN,33.61669921875,73.09919738769531,1668.0,Benazir Bhutto International Airport,Islamabad,Islamabad Capital Territory,Pakistan,Europe
RAZ,RAZ,OPRT,33.849700927734375,73.79810333251953,5479.0,Rawalakot Airport,Rawalakot,Azad Kashmir,Pakistan,Europe
KDU,KDU,OPSD,35.33549880981445,75.53600311279297,7316.0,Skardu Airport,Skardu,Northern Areas,Pakistan,Europe
SKZ,SKZ,OPSK,27.722000122070312,68.79170227050781,196.0,Sukkur Airport,Mirpur Khas,Sindh,Pakistan,Europe
SYW,SYW,OPSN,26.473100662231445,67.71720123291016,121.0,Sehwan Sharif Airport,Sehwan Sharif,Sindh,Pakistan,Europe
SDT,SDT,OPSS,34.8135986328125,72.35279846191406,3183.0,Saidu Sharif Airport,Saidu Sharif,North-West Frontier,Pakistan,Europe
SKT,SKT,OPST,32.5355567932,74.3638916016,837.0,Sialkot Airport,Sialkot,Punjab,Pakistan,Europe
TUK,TUK,OPTU,25.986400604248047,63.03020095825195,498.0,Turbat International Airport,Turbat,Balochistan,Pakistan,Europe
PZH,PZH,OPZB,31.358400344848633,69.4636001586914,4728.0,Zhob Airport,Fort Sandeman,Balochistan,Pakistan,Europe
,,OR87,44.966111,-122.9225,200.0,Blue Skies Farm Airport,Salem,Oregon,United States,Europe
BGW,BGW,ORBI,33.262500762900004,44.2346000671,114.0,Baghdad International Airport,Baghdad,Baghdad Governorate,Iraq,Europe
EBL,EBL,ORER,36.23759841918945,43.963199615478516,1341.0,Erbil International Airport,Arbil,Arbil Governorate,Iraq,Europe
BSR,BSR,ORMM,30.549100875854492,47.66210174560547,11.0,Basrah International Airport,Basrah,Basra Governorate,Iraq,Europe
NJF,NJF,ORNI,31.989853,44.404317,103.0,Al Najaf International Airport,Najaf,Najaf Governorate,Iraq,Europe
ISU,ISU,ORSU,35.5617485046,45.316738128699996,2494.0,Sulaymaniyah International Airport,Sulaymaniyah,As-Sulaymaniyyah Governorate,Iraq,Europe
ALP,ALP,OSAP,36.18069839477539,37.22439956665039,1276.0,Aleppo International Airport,Aleppo,Aleppo Governorate,Syria,Europe
DAM,DAM,OSDI,33.4114990234375,36.51559829711914,2020.0,Damascus International Airport,Damascus,Damascus Governorate,Syria,Europe
DEZ,DEZ,OSDZ,35.2854,40.175999,700.0,Deir ez-Zor Air Base,Deir ez-Zor,Deir ez-Zor Governorate,Syria,Europe
KAC,KAC,OSKL,37.020599365234375,41.19139862060547,1480.0,Kamishly Airport,Kamishly,Al-Hasakah Governorate,Syria,Europe
LTK,LTK,OSLK,35.401100158691406,35.948699951171875,157.0,Bassel Al-Assad International Airport,Latakia,Latakia Governorate,Syria,Europe
ADE,ADE,OYAA,12.829500198364258,45.02880096435547,7.0,Aden International Airport,Aden,Adan Governorate,Yemen,Europe
AAY,AAY,OYGD,16.191699981689453,52.17499923706055,134.0,Al Ghaidah International Airport,,Al Mahrah Governorate,Yemen,Europe
HOD,HOD,OYHD,14.753000259399414,42.97629928588867,41.0,Hodeidah International Airport,Hodeida,Al Hydaydah Governorate,Yemen,Europe
RIY,RIY,OYRN,14.662599563598633,49.375,54.0,Mukalla International Airport,Riyan,Hadramawt Governorate,Yemen,Europe
SAH,SAH,OYSN,15.476300239562988,44.21969985961914,7216.0,Sana'a International Airport,Sana'a,San'a' Governorate,Yemen,Europe
SCT,SCT,OYSQ,12.63070011138916,53.905799865722656,146.0,Socotra International Airport,Socotra Islands,Hadramawt Governorate,Yemen,Europe
GXF,GXF,OYSY,15.9660997391,48.78829956049999,2097.0,Sayun International Airport,Sayun,Hadramawt Governorate,Yemen,Europe
TAI,TAI,OYTZ,13.6859998703,44.139099121099996,4838.0,Ta'izz International Airport,Ta'izz,Ta'izz Governorate,Yemen,Europe
MPP,MPP,PA-0011,8.9453,-77.7331,15.0,Mulatupo Airport,Mulatupo,Kuna Yala Indigenous Region,Panama,Europe
PYC,PYC,PA-0013,9.305184161299998,-78.235874176,18.0,Playón Chico Airport,Playón Chico,Kuna Yala Indigenous Region,Panama,Europe
BFQ,BFQ,PA-BFQ,7.583000183105469,-78.19999694824219,14.0,Bahia Piña Airport,Bahia Piña,Darién Province,Panama,Europe
ELE,ELE,PA-ELE,8.1072,-77.7252,65.0,EL Real Airport,El Real de Santa María,Darién Province,Panama,Europe
OTD,OTD,PA-OTD,8.6287603378296,-79.034698486328,14.0,Contadora Airport,Contadora Island,Panamá Province,Panama,Europe
SAX,SAX,PA-SAX,8.017000198364258,-78.19999694824219,32.0,Sambu Airport,Boca de Sábalo,Darién Province,Panama,Europe
BET,BET,PABE,60.77980042,-161.8379974,126.0,Bethel Airport,Bethel,Alaska,United States,Europe
BRW,BRW,PABR,71.285402,-156.766008,44.0,Wiley Post Will Rogers Memorial Airport,Utqiaġvik,Alaska,United States,Europe
CDV,CDV,PACV,60.4917984,-145.4779968,54.0,Merle K (Mudhole) Smith Airport,Cordova,Alaska,United States,Europe
CYT,CYT,PACY,60.082000732400004,-142.492996216,12.0,Yakataga Airport,Yakataga,Alaska,United States,Europe
ADK,ADK,PADK,51.87799835205078,-176.64599609375,18.0,Adak Airport,Adak Island,Alaska,United States,Europe
DLG,DLG,PADL,59.04470062,-158.5050049,81.0,Dillingham Airport,Dillingham,Alaska,United States,Europe
MLL,MLL,PADM,61.8642997742,-162.026000977,103.0,Marshall Don Hunter Sr Airport,Marshall,Alaska,United States,Europe
ADQ,ADQ,PADQ,57.75,-152.4940033,78.0,Kodiak Airport,Kodiak,Alaska,United States,Europe
DUT,DUT,PADU,53.900100708,-166.544006348,22.0,Unalaska Airport,Unalaska,Alaska,United States,Europe
ELV,ELV,PAEL,58.195201873799995,-136.347000122,0.0,Elfin Cove Seaplane Base,Elfin Cove,Alaska,United States,Europe
EMK,EMK,PAEM,62.78609848,-164.4909973,13.0,Emmonak Airport,Emmonak,Alaska,United States,Europe
FAI,FAI,PAFA,64.81510162,-147.8560028,439.0,Fairbanks International Airport,Fairbanks,Alaska,United States,Europe
SHG,SHG,PAGH,66.88809967041,-157.16200256348,197.0,Shungnak Airport,Shungnak,Alaska,United States,Europe
AGN,AGN,PAGN,57.503601,-134.585007,0.0,Angoon Seaplane Base,Angoon,Alaska,United States,Europe
GST,GST,PAGS,58.4253006,-135.7070007,35.0,Gustavus Airport,Gustavus,Alaska,United States,Europe
SGY,SGY,PAGY,59.46009826660156,-135.3159942626953,44.0,Skagway Airport,Skagway,Alaska,United States,Europe
HCR,HCR,PAHC,62.18830108642578,-159.77499389648438,70.0,Holy Cross Airport,Holy Cross,Alaska,United States,Europe
HNS,HNS,PAHN,59.24380111694336,-135.5240020751953,15.0,Haines Airport,Haines,Alaska,United States,Europe
HUS,HUS,PAHU,66.04109955,-154.2630005,299.0,Hughes Airport,Hughes,Alaska,United States,Europe
EGX,EGX,PAII,58.1855010986,-157.375,92.0,Egegik Airport,Egegik,Alaska,United States,Europe
WAA,WAA,PAIW,65.622593,-168.095,22.0,Wales Airport,Wales,Alaska,United States,Europe
JNU,JNU,PAJN,58.35499954223633,-134.5760040283203,21.0,Juneau International Airport,Juneau,Alaska,United States,Europe
KGK,KGK,PAJZ,59.726600647,-157.259002686,269.0,Koliganek Airport,Koliganek,Alaska,United States,Europe
AKN,AKN,PAKN,58.67679977,-156.6490021,73.0,King Salmon Airport,King Salmon,Alaska,United States,Europe
KTN,KTN,PAKT,55.35559845,-131.7140045,89.0,Ketchikan International Airport,Ketchikan,Alaska,United States,Europe
KLG,KLG,PALG,61.53630065917969,-160.34100341796875,55.0,Kalskag Airport,Kalskag,Alaska,United States,Europe
MCG,MCG,PAMC,62.95289993,-155.6060028,341.0,McGrath Airport,McGrath,Alaska,United States,Europe
SMK,SMK,PAMK,63.49010086,-162.1100006,98.0,St Michael Airport,St Michael,Alaska,United States,Europe
MOU,MOU,PAMO,62.095401763916016,-163.6820068359375,337.0,Mountain Village Airport,Mountain Village,Alaska,United States,Europe
ANC,ANC,PANC,61.174400329589844,-149.99600219726562,152.0,Ted Stevens Anchorage International Airport,Anchorage,Alaska,United States,Europe
ANI,ANI,PANI,61.581600189208984,-159.54299926757812,88.0,Aniak Airport,Aniak,Alaska,United States,Europe
FNR,FNR,PANR,58.2543983459,-134.897994995,0.0,Funter Bay Seaplane Base,Funter Bay,Alaska,United States,Europe
ANN,ANN,PANT,55.04240036010742,-131.57200622558594,119.0,Annette Island Airport,Annette,Alaska,United States,Europe
ANV,ANV,PANV,62.646702,-160.190994,291.0,Anvik Airport,Anvik,Alaska,United States,Europe
HNH,HNH,PAOH,58.0961,-135.410111,19.0,Hoonah Airport,Hoonah,Alaska,United States,Europe
OME,OME,PAOM,64.51219940185547,-165.44500732421875,37.0,Nome Airport,Nome,Alaska,United States,Europe
OTZ,OTZ,PAOT,66.88469696,-162.598999,14.0,Ralph Wien Memorial Airport,Kotzebue,Alaska,United States,Europe
PSG,PSG,PAPG,56.80170059,-132.9450073,111.0,Petersburg James A Johnson Airport,Petersburg,Alaska,United States,Europe
ARC,ARC,PARC,68.1147,-145.578995,2092.0,Arctic Village Airport,Arctic Village,Alaska,United States,Europe
SCC,SCC,PASC,70.19470215,-148.4649963,65.0,Deadhorse Airport,Deadhorse,Alaska,United States,Europe
SIT,SIT,PASI,57.04710006713867,-135.36199951171875,21.0,Sitka Rocky Gutierrez Airport,Sitka,Alaska,United States,Europe
TLA,TLA,PATE,65.2404022217,-166.339004517,294.0,Teller Airport,Teller,Alaska,United States,Europe
VAK,VAK,PAVA,61.5409,-165.6005,75.0,Chevak Airport,Chevak,Alaska,United States,Europe
WRG,WRG,PAWG,56.48429871,-132.3699951,49.0,Wrangell Airport,Wrangell,Alaska,United States,Europe
YAK,YAK,PAYA,59.5032997131,-139.660003662,33.0,Yakutat Airport,Yakutat,Alaska,United States,Europe
TKJ,TKJ,PFTO,63.32949829,-142.9539948,1639.0,Tok Junction Airport,Tok,Alaska,United States,Europe
TAJ,TAJ,PG-ATP,-3.19819180354,142.430963516,33.0,Tadji Airport,Aitape,Sandaun (West Sepik),Papua New Guinea,Europe
AWB,AWB,PG-AWB,-8.00611019135,142.748352051,32.0,Awaba Airport,Awaba,Western (Fly River),Papua New Guinea,Europe
GMI,GMI,PG-GMI,-6.27111005783,150.330993652,23.0,Gasmata Island Airport,Gasmata Island,West New Britain,Papua New Guinea,Europe
IHU,IHU,PG-IHU,-7.8975601196300005,145.395996094,70.0,Ihu Airport,Ihu,Gulf,Papua New Guinea,Europe
JAQ,JAQ,PG-JAQ,-5.65250015259,151.507003784,136.0,Jacquinot Bay Airport,Jacquinot Bay,East New Britain,Papua New Guinea,Europe
KDR,KDR,PG-KDR,-6.19217,149.54783,280.0,Kandrian Airport,Kandrian,West New Britain,Papua New Guinea,Europe
KKD,KKD,PG-KKD,-8.88467884064,147.730957031,1240.0,Kokoda Airport,Kokoda,Northern (Oro),Papua New Guinea,Europe
KUY,KUY,PG-KUY,-7.420347,143.121811,97.0,Kamusi Airport,Kamusi,Western (Fly River),Papua New Guinea,Europe
LMY,LMY,PG-LMY,-7.00992012024,141.494003296,52.0,Lake Murray Airport,Lake Murray,Western (Fly River),Papua New Guinea,Europe
OBX,OBX,PG-OBX,-7.590622421369999,141.324262619,29.0,Obo Airport,Obo,Western (Fly River),Papua New Guinea,Europe
OPU,OPU,PG-OPU,-8.05000019073,142.932998657,51.0,Balimo Airport,Balimo,Western (Fly River),Papua New Guinea,Europe
SKC,SKC,PG-SKC,-8.0466,141.7222,24.0,Suki Airport,Suki,Western (Fly River),Papua New Guinea,Europe
TFI,TFI,PG-TFI,-9.07595443726,149.319839478,85.0,Tufi Airport,Tufi,Northern (Oro),Papua New Guinea,Europe
UKU,UKU,PG-UKU,-3.676651,142.484334,870.0,Nuku Airport,Nuku,Sandaun (West Sepik),Papua New Guinea,Europe
VMU,VMU,PG-VMU,-7.49686002731,144.819900513,27.0,Baimuru Airport,Baimuru,Gulf,Papua New Guinea,Europe
WPM,WPM,PG-WPM,-8.788220405579999,142.882003784,173.0,Wipim Airport,Wipim,Western (Fly River),Papua New Guinea,Europe
ROP,ROP,PGRO,14.174300193786621,145.2429962158203,607.0,Rota International Airport,Rota Island,(unassigned),Northern Mariana Islands,Europe
SPN,SPN,PGSN,15.119000434899998,145.729003906,215.0,Saipan International Airport,Saipan Island,(unassigned),Northern Mariana Islands,Europe
GUM,GUM,PGUM,13.4834003448,144.796005249,298.0,Antonio B. Won Pat International Airport,Hagåtña Guam International Airport,(unassigned),Guam,Europe
CGY,CGY,PH-0001,8.612203,124.456496,190.0,Laguindingan Airport,Cagayan de Oro City,Misamis Oriental Province,Philippines,Europe
,,PH-0007,8.951634,125.478544,0.0,BXU Airport,,Agusan del Norte Province,Philippines,Europe
ENI,ENI,PH-ENI,11.20199966430664,119.41699981689453,0.0,El Nido Airport,El Nido,Palawan Province,Philippines,Europe
HNM,HNM,PHHN,20.79560089111328,-156.01400756835938,78.0,Hana Airport,Hana,Hawaii,United States,Europe
JHM,JHM,PHJH,20.962900161743164,-156.67300415039062,256.0,Kapalua Airport,Lahaina,Hawaii,United States,Europe
KOA,KOA,PHKO,19.738800048828125,-156.04600524902344,47.0,Kona International At Keahole Airport,Kona,Hawaii,United States,Europe
LIH,LIH,PHLI,21.97599983215332,-159.33900451660156,153.0,Lihue Airport,Lihue,Hawaii,United States,Europe
LUP,LUP,PHLU,21.21100044,-156.973999,24.0,Kalaupapa Airport,Kalaupapa,Hawaii,United States,Europe
MKK,MKK,PHMK,21.15290069580078,-157.0959930419922,454.0,Molokai Airport,Kaunakakai,Hawaii,United States,Europe
MUE,MUE,PHMU,20.001300811767578,-155.66799926757812,2671.0,Waimea Kohala Airport,Kamuela,Hawaii,United States,Europe
HNL,HNL,PHNL,21.32062,-157.924228,13.0,Daniel K Inouye International Airport,Honolulu,Hawaii,United States,Europe
LNY,LNY,PHNY,20.785600662231445,-156.9510040283203,1308.0,Lanai Airport,Lanai City,Hawaii,United States,Europe
OGG,OGG,PHOG,20.8986,-156.429993,54.0,Kahului Airport,Kahului,Hawaii,United States,Europe
ITO,ITO,PHTO,19.721399307250977,-155.04800415039062,38.0,Hilo International Airport,Hilo,Hawaii,United States,Europe
JON,JON,PJON,16.7285995483,-169.533996582,7.0,Johnston Atoll Airport,Johnston Atoll,Johnston Atoll,United States Minor Outlying Islands,Europe
RZS,RZS,PK-RZS,26.9662,68.878098,160.0,Sawan Airport,Sawan,Sindh,Pakistan,Europe
ENT,ENT,PKMA,11.340700149536133,162.3280029296875,13.0,Eniwetok Airport,Eniwetok Atoll,Eniwetok,Marshall Islands,Europe
MAJ,MAJ,PKMJ,7.064760208129883,171.27200317382812,6.0,Marshall Islands International Airport,Majuro Atoll,Majuro,Marshall Islands,Europe
KAI,KAI,PKSA,5.17275476456,-59.491481781,1520.0,Kaieteur International Airport,Kaieteur Falls,Potaro-Siparuni,Guyana,Europe
KWA,KWA,PKWA,8.720120429992676,167.73199462890625,9.0,Bucholz Army Air Field,Kwajalein,Kwajalein,Marshall Islands,Europe
CXI,CXI,PLCH,1.9861600399017334,-157.35000610351562,5.0,Cassidy International Airport,Banana,Line Islands,Kiribati,Europe
,,PR-0004,17.970482,-66.266021,43.0,Salinas Airport,Salinas,(unassigned),Puerto Rico,Europe
,,PR-0005,17.9578321023,-66.8408203125,9.0,[DELETE] Areopuerto Internacional Michael Gonzalez Figueroa,Adjuntas,(unassigned),Puerto Rico,Europe
,,PR34,18.457799911499997,-66.1211013794,10.0,San Juan Seaplane Base,San Juan,(unassigned),Puerto Rico,Europe
TKK,TKK,PTKK,7.461870193481445,151.84300231933594,11.0,Chuuk International Airport,Weno Island,Chuuk State,Micronesia,Europe
PNI,PNI,PTPN,6.985099792480469,158.20899963378906,10.0,Pohnpei International Airport,Pohnpei Island,Pohnpei State,Micronesia,Europe
KSA,KSA,PTSA,5.35698,162.957993,11.0,Kosrae International Airport,Okat,Kosrae State,Micronesia,Europe
YAP,YAP,PTYA,9.49891,138.082993,91.0,Yap International Airport,Yap Island,Yap State,Micronesia,Europe
KIO,KIO,Q51,5.644515,169.119507,5.0,Kili Airport,Kili Island,Kili,Marshall Islands,Europe
DOH,DOH,QA-0001,25.273056,51.608056,13.0,Hamad International Airport,Doha,Ad Dawhah Municipality,Qatar,Europe
QFX,QFX,qfx,60.9920065221,-45.4323345423,0.0,Igaliku Heliport,Igaliku,(unassigned),Greenland,Europe
KNH,KNH,RCBS,24.4279,118.359001,93.0,Kinmen Airport,Shang-I,Kinmen County,Taiwan,Europe
LZN,LZN,RCFG,26.1598,119.958,232.0,Matsu Nangan Airport,Nangang Island,Lienchiang County,Taiwan,Europe
TTT,TTT,RCFN,22.7549991607666,121.10199737548828,143.0,Taitung Airport,Taitung City,Taitung County,Taiwan,Europe
KHH,KHH,RCKH,22.57710075378418,120.3499984741211,31.0,Kaohsiung International Airport,Kaohsiung City,Kaohsiung (municipality),Taiwan,Europe
CYI,CYI,RCKU,23.46179962158203,120.39299774169922,85.0,Chiayi Airport,Chiayi City,Chiayi County,Taiwan,Europe
HCN,HCN,RCKW,22.041099548339844,120.7300033569336,46.0,Hengchun Airport,Hengchung,Pingtung County,Taiwan,Europe
